plugin-example	v2026.242.0529
plugin-example-external	v2026.242.0556
plugin-example-command	v2026.242.0531
plugin-example-bootstrap	v2026.242.0529
plugin-egress	v2026.242.0557
plugin-k8sgen	v2026.242.0556
plugin-gpu	v2026.242.0529
plugin-preempt	v2026.242.0533
plugin-enc	v2026.242.0527
plugin-port	v2026.242.0556
plugin-process	v2026.242.0533
plugin-interface	v2026.242.0530
plugin-addr	v2026.242.0525
plugin-dns	v2026.242.0528
plugin-examplerunverb	v2026.242.0528
plugin-matching	v2026.242.0529
plugin-http	v2026.242.0529
plugin-kernel-param	v2026.242.0530
plugin-mount	v2026.242.0530
plugin-user	v2026.242.2148
plugin-unix-group	v2026.242.0532
plugin-file	v2026.242.2145
plugin-command	v2026.242.0527
plugin-service	v2026.242.2146
plugin-package	v2026.242.0530
plugin-init	v2026.242.0556
plugin-agent	v2026.242.0525
plugin-agent-pi	v2026.242.0525
plugin-builder	v2026.242.0526
plugin-distro	v2026.242.1131
plugin-resource	v2026.242.0556
plugin-sidecar	v2026.242.0532
plugin-group	v2026.242.0529
plugin-substrate	v2026.242.0533
plugin-candy-kind	v2026.242.0527
plugin-harness-kind	v2026.242.0529
plugin-build	v2026.242.0525
plugin-installstep	v2026.242.0532
plugin-tunnel	v2026.242.0609
plugin-tmux	v2026.242.0534
plugin-migrate	v2026.242.0530
plugin-ssh	v2026.242.0533
plugin-cmd	v2026.242.0526
plugin-clean	v2026.242.0526
plugin-settings	v2026.242.0532
plugin-loader	v2026.242.0530
plugin-refs	v2026.242.0532
plugin-candy	v2026.242.0526
plugin-doctor	v2026.242.0528
plugin-feature	v2026.242.0530
plugin-vm	v2026.242.1912
plugin-fleet	v2026.242.1727
plugin-pod	v2026.242.0531
plugin-alias	v2026.242.0525
plugin-box	v2026.242.0526
plugin-authoring	v2026.242.0525
plugin-oci	v2026.242.0531
plugin-status	v2026.242.0531
plugin-check	v2026.242.2127
plugin-agentteams	v2026.242.0525
plugin-dsh	v2026.242.0528
plugin-ollama	v2026.242.0532
